run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2022-04-26_09.30.34,P-1,2612,8245,1,0.0732331058668266,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 0.907813262985054}]",0,2,1,[],"[(4520, 4589)]",3,"[{'start_idx': 4270, 'end_idx': 4339, 'score': 0.907813262985054}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2022-04-26_09.30.34,S-1,2558,7071,2,0.1554678393322615,"[{'start_idx': 1089, 'end_idx': 1555, 'score': 1.4418511961222895}, {'start_idx': 5040, 'end_idx': 5109, 'score': 1.0715163677435628}, {'start_idx': 5110, 'end_idx': 5179, 'score': 5.132832575216771}, {'start_idx': 5180, 'end_idx': 5249, 'score': 6.223870713387919}, {'start_idx': 5250, 'end_idx': 5319, 'score': 6.251129598318788}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.7326359088785575}]",1,0,1,"[[1339, 1805]]","[(5290, 5639)]",1,"[{'start_idx': 1089, 'end_idx': 1555, 'score': 1.4418511961222895}, {'start_idx': 5040, 'end_idx': 5109, 'score': 1.0715163677435628}, {'start_idx': 5110, 'end_idx': 5179, 'score': 5.132832575216771}, {'start_idx': 5180, 'end_idx': 5249, 'score': 6.223870713387919}, {'start_idx': 5250, 'end_idx': 5319, 'score': 6.251129598318788}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.7326359088785575}]",SMAP,"[[5300, 5747]]",[point]
2022-04-26_09.30.34,E-1,2620,8256,3,0.04469364202403565,"[{'start_idx': 1501, 'end_idx': 1768, 'score': 6.741894418856182}, {'start_idx': 4760, 'end_idx': 4829, 'score': 9.810824337179906}, {'start_idx': 4830, 'end_idx': 4899, 'score': 7.475941413364651}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.787633147924106}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.250123028027472}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.74782233521416}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.426742477813107}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.939569308750427}]",1,0,2,"[[1751, 2018]]","[(5010, 5149), (5570, 5919)]",2,"[{'start_idx': 1501, 'end_idx': 1768, 'score': 6.741894418856182}, {'start_idx': 4760, 'end_idx': 4829, 'score': 9.810824337179906}, {'start_idx': 4830, 'end_idx': 4899, 'score': 7.475941413364651}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.787633147924106}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.250123028027472}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.74782233521416}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.426742477813107}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.939569308750427}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2022-04-26_09.30.34,E-2,2620,8272,2,0.05546069882182127,"[{'start_idx': 5880, 'end_idx': 5949, 'score': 2.857707337551922}, {'start_idx': 6090, 'end_idx': 6159, 'score': 3.1301905648561177}, {'start_idx': 6160, 'end_idx': 6229, 'score': 3.295414826650749}, {'start_idx': 6230, 'end_idx': 6299, 'score': 3.3321540231867615}]",0,0,1,[],"[(6130, 6199), (6340, 6549)]",1,"[{'start_idx': 5880, 'end_idx': 5949, 'score': 2.857707337551922}, {'start_idx': 6090, 'end_idx': 6159, 'score': 3.1301905648561177}, {'start_idx': 6160, 'end_idx': 6229, 'score': 3.295414826650749}, {'start_idx': 6230, 'end_idx': 6299, 'score': 3.3321540231867615}]",SMAP,"[[5598, 6995]]",[point]
2022-04-26_09.30.34,E-3,2620,8047,1,0.01054367247202367,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 6.0344560837938}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.939025490971471}, {'start_idx': 5460, 'end_idx': 5525, 'score': 5.196804594499233}]",0,0,1,[],"[(5570, 5775)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 6.0344560837938}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.939025490971471}, {'start_idx': 5460, 'end_idx': 5525, 'score': 5.196804594499233}]",SMAP,"[[5094, 8306]]",[point]
2022-04-26_09.30.34,E-4,2620,8094,2,0.05206313301575413,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 1.6565063442933783}, {'start_idx': 5390, 'end_idx': 5459, 'score': 1.6322066152679933}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.5757054478263838}, {'start_idx': 5670, 'end_idx': 5739, 'score': 2.321592043639504}, {'start_idx': 5740, 'end_idx': 5809, 'score': 2.3293233025685813}, {'start_idx': 5810, 'end_idx': 5879, 'score': 2.1983915509281915}, {'start_idx': 5880, 'end_idx': 5949, 'score': 2.676063956857822}, {'start_idx': 5950, 'end_idx': 6019, 'score': 2.760418165183231}, {'start_idx': 6020, 'end_idx': 6089, 'score': 2.9151339147801885}]",0,0,1,[],"[(5570, 5779), (5920, 6339)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 1.6565063442933783}, {'start_idx': 5390, 'end_idx': 5459, 'score': 1.6322066152679933}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.5757054478263838}, {'start_idx': 5670, 'end_idx': 5739, 'score': 2.321592043639504}, {'start_idx': 5740, 'end_idx': 5809, 'score': 2.3293233025685813}, {'start_idx': 5810, 'end_idx': 5879, 'score': 2.1983915509281915}, {'start_idx': 5880, 'end_idx': 5949, 'score': 2.676063956857822}, {'start_idx': 5950, 'end_idx': 6019, 'score': 2.760418165183231}, {'start_idx': 6020, 'end_idx': 6089, 'score': 2.9151339147801885}]",SMAP,"[[5450, 8261]]",[point]
2022-04-26_09.30.34,E-5,2620,8034,2,0.09322047523689568,"[{'start_idx': 1463, 'end_idx': 1729, 'score': 3.169343988387408}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.2968556929295807}]",1,0,1,"[[1713, 1979]]","[(5570, 5639)]",1,"[{'start_idx': 1463, 'end_idx': 1729, 'score': 3.169343988387408}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.2968556929295807}]",SMAP,"[[5600, 5920]]",[point]
2022-04-26_09.30.34,E-6,2620,8040,1,0.00885834854959813,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.516509540627501}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.818701368344993}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.956953361437822}, {'start_idx': 5530, 'end_idx': 5541, 'score': 7.9863005835395455}]",0,0,1,[],"[(5570, 5791)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.516509540627501}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.818701368344993}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.956953361437822}, {'start_idx': 5530, 'end_idx': 5541, 'score': 7.9863005835395455}]",SMAP,"[[5610, 5675]]",[point]
2022-04-26_09.30.34,E-7,2509,8050,1,0.014848087510367022,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 12.34405965232496}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.390375843874308}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.768681340378583}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.053086337222718}, {'start_idx': 5460, 'end_idx': 5516, 'score': 7.8889945890300694}]",0,0,1,[],"[(5430, 5766)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 12.34405965232496}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.390375843874308}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.768681340378583}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.053086337222718}, {'start_idx': 5460, 'end_idx': 5516, 'score': 7.8889945890300694}]",SMAP,"[[5394, 5674]]",[point]
2022-04-26_09.30.34,E-8,2620,8272,0,0.036313737680957914,[],0,1,0,[],[],1,[],SMAP,"[[5400, 6022]]",[point]
